Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Falkland Islands,Americas,1886,54148.722,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,80,4944.376,2,123.609,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Saint Helena,Africa,566,9323.011,449,7395.816,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,8,138.05,0,1,17.256,0,0,0
Saba,Americas,726,37558.2,0,0,0,2,103.466,0,0,0
Saint Barthélemy,Americas,5263,53242.286,0,0,0,5,50.582,0,0,0
Sint Eustatius,Americas,1196,38101.306,2,63.715,0,5,159.286,0,0,0
Palau,Western Pacific,5445,30096.175,15,82.91,0,6,33.164,0,0,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Montserrat,Americas,1381,27625.525,55,1100.22,0,8,160.032,0,0,0
Anguilla,Americas,3858,25716.571,2,13.332,0,12,79.989,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Vanuatu,Western Pacific,11950,3890.671,13,4.233,0,14,4.558,0,0,0
Burundi,Africa,50066,421.049,109,0.917,0,15,0.126,0,0,0
Marshall Islands,Western Pacific,15224,25718.823,11,18.583,0,17,28.719,0,0,0
Bhutan,South-East Asia,61730,8000.176,81,10.498,0,21,2.722,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Samoa,Western Pacific,15925,8026.147,0,0,0,29,14.616,0,0,0
Bonaire,Americas,9401,44948.601,15,71.719,0,31,148.219,0,0,0
Cayman Islands,Americas,30545,46477.48,0,0,0,31,47.17,0,0,0
Micronesia,Western Pacific,10057,8743.469,47,40.861,0,31,26.951,1,0.869,0
American Samoa,Western Pacific,8244,14935.594,9,16.305,0,34,61.598,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Northern Mariana Islands,Western Pacific,13166,22874.715,12,20.849,0,40,69.496,0,0,0
Saint Kitts and Nevis,Americas,6543,12300.722,2,3.76,0,46,86.479,0,0,0
Saint Martin,Americas,11941,30888.021,0,0,0,46,118.989,0,0,0
Guernsey,Europe,31099,48239.437,107,165.974,0,62,96.172,0,0,0
Monaco,Europe,14541,37052.798,55,140.149,9,63,160.534,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Sao Tome and Principe,Africa,6209,2833.103,16,7.301,0,77,35.134,1,0.456,0
Liechtenstein,Europe,19458,50218.081,47,121.3,0,85,219.372,0,0,0
Sint Maarten,Americas,10855,25313.651,0,0,0,87,202.882,0,0,0
Eritrea,Africa,10164,286.599,0,0,0,103,2.904,0,0,0
Gibraltar,Europe,20069,59567.837,0,0,0,108,320.56,0,0,0
Central African Republic,Africa,14903,308.566,0,0,0,113,2.34,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Saint Vincent and the Grenadines,Americas,9448,8516.315,2,1.803,0,116,104.561,0,0,0
San Marino,Europe,20607,60719.547,49,144.381,0,118,347.693,0,0,0
United States Virgin Islands,Americas,23083,22104.86,113,108.212,0,123,117.788,0,0,0
Sierra Leone,Africa,7750,97.155,1,0.013,0,125,1.567,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Brunei Darussalam,Western Pacific,226237,51713.797,0,0,0,131,29.944,0,0,0
Jersey,Europe,59874,55543.805,319,295.929,319,138,128.02,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Timor-Leste,South-East Asia,23248,1763.289,9,0.683,1,138,10.467,0,0,0
Antigua and Barbuda,Americas,9008,9198.501,0,0,0,145,148.066,0,0,0
Bermuda,Americas,18122,29100.894,45,72.262,45,148,237.663,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Andorra,Europe,46147,59725.62,0,0,0,155,200.608,0,0,0
Comoros,Africa,8471,974.125,0,0,0,160,18.399,0,0,0
Benin,Africa,27638,227.976,0,0,0,163,1.345,0,0,0
Seychelles,Africa,46358,47137.178,0,0,0,169,171.841,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Equatorial Guinea,Africa,16912,1205.43,18,1.283,0,183,13.044,0,0,0
Mayotte,Africa,40243,14751.022,39,14.295,39,187,68.545,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Chad,Africa,7571,46.092,13,0.079,0,193,1.175,0,0,0
Iceland,Europe,205454,56422.636,122,33.504,0,213,58.495,0,0,0
Aruba,Americas,42970,40246.895,0,0,0,228,213.551,0,0,0
Grenada,Americas,19516,17344.01,43,38.214,0,236,209.735,0,0,0
Nicaragua,Americas,15045,227.11,55,0.83,0,245,3.698,1,0.015,0
Togo,Africa,38864,469.444,161,1.945,0,284,3.43,0,0,0
Curaçao,Americas,45357,27641.033,12,7.313,0,287,174.901,0,0,0
Liberia,Africa,7961,157.404,4,0.079,0,294,5.813,0,0,0
Gabon,Africa,48682,2187.234,0,0,0,306,13.748,0,0,0
Maldives,South-East Asia,185004,34225.521,38,7.03,0,308,56.98,0,0,0
Niger,Africa,9399,38.828,9,0.037,0,313,1.293,0,0,0
New Caledonia,Western Pacific,74275,26015.944,57,19.965,0,314,109.983,0,0,0
Gambia,Africa,12415,513.724,0,0,0,372,15.393,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
Saint Lucia,Americas,28959,15770.557,0,0,0,393,214.021,0,0,0
Guam,Western Pacific,48747,28882.832,14,8.295,0,394,233.447,0,0,0
Cabo Verde,Africa,62356,11215.37,4,0.719,0,410,73.743,0,0,0
French Guiana,Americas,93925,31446.488,0,0,0,410,137.27,0,0,0
Guinea,Africa,37652,286.702,0,0,0,449,3.419,0,0,0
Barbados,Americas,102366,35621.053,298,103.697,45,559,194.519,0,0,0
French Polynesia,Western Pacific,76588,27264.442,10,3.56,0,649,231.036,0,0,0
Papua New Guinea,Western Pacific,44959,502.502,28,0.313,5,664,7.421,0,0,0
Qatar,Eastern Mediterranean,444174,15417.071,4887,169.625,0,682,23.672,0,0,0
Belize,Americas,68743,17288.269,131,32.945,0,683,171.769,3,0.754,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Mali,Africa,32592,160.942,152,0.751,12,740,3.654,1,0.005,0
Lao People's Democratic Republic,Western Pacific,215615,2963.552,343,4.714,60,757,10.405,0,0,0
Malta,Europe,114534,22258.456,166,32.26,31,804,156.249,1,0.194,0
Côte d’Ivoire,Africa,87094,330.173,104,0.394,13,823,3.12,1,0.004,0
Bahamas,Americas,37193,9457.996,6,1.526,0,833,211.828,0,0,0
United Republic of Tanzania,Africa,39341,65.86,88,0.147,0,845,1.415,0,0,0
Haiti,Americas,33702,295.566,0,0,0,857,7.516,0,0,0
